Rank	Site	Category	Unique Visitors (users)	Reach	Page Views	Has Advertising
1	facebook.com	Social Networks	880,000,000	47.2%	910,000,000,000	Yes
2	youtube.com	Online Video	800,000,000	42.7%	100,000,000,000	Yes
3	yahoo.com	Web Portals	660,000,000	35.3%	77,000,000,000	Yes
4	live.com	Search Engines	550,000,000	29.3%	36,000,000,000	Yes
5	wikipedia.org	Dictionaries & Encyclopedias	490,000,000	26.2%	7,000,000,000	No
6	msn.com	Web Portals	450,000,000	24%	15,000,000,000	Yes
7	blogspot.com	Blogging Resources & Services	410,000,000	21.9%	5,400,000,000	Yes
8	baidu.com	Search Engines	340,000,000	18%	110,000,000,000	Yes
9	bing.com	Search Engines	340,000,000	18.3%	11,000,000,000	Yes
10	microsoft.com	Software	340,000,000	18.3%	2,700,000,000	Yes
11	qq.com	Web Portals	280,000,000	15%	44,000,000,000	Yes
12	ask.com	Search Engines	210,000,000	11.2%	2,000,000,000	Yes
13	taobao.com	Classifieds	190,000,000	10.3%	30,000,000,000	Yes
14	adobe.com	Multimedia Software	170,000,000	9.2%	1,000,000,000	No
15	wordpress.com	Blogging Resources & Services	170,000,000	9.2%	1,000,000,000	Yes
16	twitter.com	Email & Messaging	160,000,000	8.4%	6,000,000,000	Yes
17	youku.com	Online Video	160,000,000	8.4%	3,600,000,000	Yes
18	soso.com	Search Engines	160,000,000	8.4%	3,600,000,000	No
19	sohu.com	Web Portals	140,000,000	7.6%	5,900,000,000	Yes
20	163.com	Web Portals	140,000,000	7.7%	6,500,000,000	Yes
21	windows.com	Windows OS	130,000,000	7%	540,000,000	Yes
22	hao123.com	Web Portals	120,000,000	6.3%	7,200,000,000	Yes
23	tudou.com	Online Video	120,000,000	6.3%	2,700,000,000	Yes
24	amazon.com	Shopping	120,000,000	6.3%	4,400,000,000	Yes
25	apple.com	Mac OS	110,000,000	5.8%	1,100,000,000	Yes
26	ebay.com	Auctions	110,000,000	5.8%	10,000,000,000	Yes
27	sogou.com	Search Engines	89,000,000	4.8%	2,300,000,000	Yes
28	mozilla.com	Internet Clients & Browsers	87,000,000	4.7%	590,000,000	No
29	yahoo.co.jp	Web Portals	87,000,000	4.7%	30,000,000,000	Yes
30	paypal.com	Merchant Services & Payment Systems	82,000,000	4.4%	1,700,000,000	Yes
31	tmall.com	Apparel	81,000,000	4.3%	2,100,000,000	Yes
32	go.com	Web Portals	81,000,000	4.4%	3,300,000,000	Yes
33	about.com	How-To&sbquo; DIY & Expert Content	81,000,000	4.3%	600,000,000	Yes
34	flickr.com	Photo & Image Sharing	81,000,000	4.3%	1,700,000,000	Yes
35	56.com	Online Media	80,000,000	4.3%	1,100,000,000	Yes
36	4399.com	Online Games	80,000,000	4.3%	4,800,000,000	Yes
37	linkedin.com	Social Networks	74,000,000	4%	2,300,000,000	Yes
38	xunlei.com	File Sharing & Hosting	74,000,000	4%	2,000,000,000	Yes
39	dailymotion.com	Online Media	73,000,000	3.9%	810,000,000	Yes
40	aol.com	Web Portals	72,000,000	3.9%	5,300,000,000	Yes
41	orkut.com	Social Networks	72,000,000	3.9%	4,400,000,000	Yes
42	ku6.com	Online Media	68,000,000	3.6%	540,000,000	Yes
43	bbc.co.uk	World News	67,000,000	3.6%	2,700,000,000	Yes
44	pps.tv	Online Video	67,000,000	3.6%	540,000,000	Yes
45	orkut.com.br	Social Networks	67,000,000	3.6%	53,000,000,000	No
46	cnet.com	Consumer Electronics	67,000,000	3.6%	450,000,000	Yes
47	craigslist.org	Classifieds	66,000,000	3.5%	24,000,000,000	No
48	ehow.com	How-To&sbquo; DIY & Expert Content	61,000,000	3.3%	280,000,000	Yes
49	weather.com	Weather	61,000,000	3.2%	1,200,000,000	Yes
50	4shared.com	File Sharing & Hosting	60,000,000	3.2%	2,500,000,000	Yes
51	imdb.com	Movie Reference	60,000,000	3.2%	1,200,000,000	Yes
52	myspace.com		60,000,000	3.2%	1,500,000,000	Yes
53	answers.com	General Reference	60,000,000	3.2%	250,000,000	Yes
54	fc2.com	Web Services	59,000,000	3.2%	3,300,000,000	Yes
55	mywebsearch.com	Search Engines	56,000,000	3%	1,200,000,000	Yes
56	mail.ru	Email & Messaging	55,000,000	2.9%	19,000,000,000	Yes
57	7k7k.com	Casual Games	55,000,000	3%	4,000,000,000	Yes
58	uol.com.br	Web Portals	55,000,000	3%	5,400,000,000	Yes
59	gocsgo.com		55,000,000	2.9%	180,000,000	No
60	alibaba.com	Import & Export	54,000,000	2.9%	1,100,000,000	Yes
61	skype.com	Voice & Video Chat	54,000,000	2.9%	490,000,000	Yes
62	badoo.com	Dating & Personals	51,000,000	2.7%	5,900,000,000	Yes
63	scribd.com	Social Networks	51,000,000	2.7%	160,000,000	Yes
64	cnn.com	Broadcast & Network News	50,000,000	2.7%	1,300,000,000	Yes
65	soku.com	Online Video	50,000,000	2.7%	780,000,000	Yes
66	babylon.com	Translation Tools & Resources	50,000,000	2.7%	790,000,000	Yes
67	yandex.ru	Search Engines	46,000,000	2.5%	14,000,000,000	Yes
68	2345.com	Web Portals	45,000,000	2.4%	2,100,000,000	Yes
69	renren.com	Social Networks	45,000,000	2.4%	3,300,000,000	Yes
70	megaupload.com	File Sharing & Hosting	45,000,000	2.4%	490,000,000	Yes
71	alot.com	Web Apps & Online Tools	45,000,000	2.4%	490,000,000	Yes
72	hp.com	Computer Hardware	45,000,000	2.4%	660,000,000	Yes
73	rakuten.co.jp	Shopping Portals & Search Engines	45,000,000	2.4%	4,000,000,000	Yes
74	goo.ne.jp	Web Portals	45,000,000	2.4%	870,000,000	Yes
75	netflix.com	DVD & Video Rentals	45,000,000	2.4%	2,500,000,000	Yes
76	softonic.com	Software	45,000,000	2.4%	370,000,000	Yes
77	blogger.com	Blogging Resources & Services	42,000,000	2.2%	1,100,000,000	No
78	360.cn	Antivirus & Malware	42,000,000	2.2%	800,000,000	No
79	alipay.com	Merchant Services & Payment Systems	42,000,000	2.3%	2,000,000,000	Yes
80	globo.com	Web Portals	41,000,000	2.2%	3,000,000,000	Yes
81	photobucket.com	Photo & Video Sharing	41,000,000	2.2%	600,000,000	Yes
82	bankofamerica.com	Banking	41,000,000	2.2%	2,500,000,000	Yes
83	discoverbing.com	Search Engines	41,000,000	2.2%	170,000,000	Yes
84	mediafire.com	File Sharing & Hosting	41,000,000	2.2%	370,000,000	Yes
85	partypoker.com		41,000,000	2.2%	130,000,000	Yes
86	camzap.com	Webcams & Virtual Tours	41,000,000	2.2%	140,000,000	No
87	ameblo.jp	Blogging Resources & Services	41,000,000	2.2%	1,700,000,000	Yes
88	odnoklassniki.ru	Social Networks	38,000,000	2%	14,000,000,000	Yes
89	terra.com.br	News	38,000,000	2%	1,700,000,000	Yes
90	naver.com	Search Engines	38,000,000	2%	23,000,000,000	Yes
91	zynga.com	Casual Games	38,000,000	2%	780,000,000	Yes
92	amazon.co.jp	Entertainment Media	38,000,000	2%	1,300,000,000	No
93	vkontakte.ru	Social Networks	38,000,000	2%	92,000,000,000	No
94	imageshack.us		38,000,000	2%	210,000,000	Yes
95	youdao.com	Blogging Resources & Services	38,000,000	2%	280,000,000	Yes
96	pconline.com.cn	Local News	38,000,000	2%	450,000,000	Yes
97	58.com	Classifieds	37,000,000	2%	960,000,000	Yes
98	chase.com	Banking	37,000,000	2%	2,500,000,000	Yes
99	mapquest.com	Maps	37,000,000	2%	210,000,000	Yes
100	xinhuanet.com	News	37,000,000	2%	870,000,000	Yes
101	joy.cn	Online Video	37,000,000	2%	280,000,000	Yes
102	metacafe.com	Video Sharing	37,000,000	2%	370,000,000	Yes
103	tumblr.com	Online Journals & Personal Sites	37,000,000	2%	1,600,000,000	Yes
104	cntv.cn	TV Networks & Stations	37,000,000	2%	540,000,000	Yes
105	hotmail.com	Email & Messaging	37,000,000	2%	210,000,000	Yes
106	walmart.com	Mass Merchants & Department Stores	35,000,000	1.9%	790,000,000	Yes
107	livedoor.jp	Web Portals	35,000,000	1.9%	590,000,000	Yes
108	tianya.cn	Online Communities	34,000,000	1.8%	440,000,000	Yes
109	booking.com	Hotels & Accommodations	34,000,000	1.8%	590,000,000	No
110	ebay.de	Auctions	34,000,000	1.8%	6,400,000,000	Yes
111	zedo.com	Advertising & Marketing	34,000,000	1.8%	150,000,000	Yes
112	paipai.com	Apparel	34,000,000	1.8%	720,000,000	No
113	miniclip.com	Online Games	34,000,000	1.8%	650,000,000	Yes
114	rapidshare.com	File Sharing & Hosting	34,000,000	1.8%	370,000,000	Yes
115	daum.net	Web Portals	34,000,000	1.8%	6,500,000,000	Yes
116	nytimes.com	Newspapers	31,000,000	1.7%	540,000,000	Yes
117	zol.com.cn	Computer Hardware	31,000,000	1.6%	590,000,000	Yes
118	gougou.com	Search Engines	31,000,000	1.7%	650,000,000	Yes
119	megavideo.com	Online Video	31,000,000	1.7%	270,000,000	Yes
120	nih.gov	Health	31,000,000	1.7%	330,000,000	Yes
121	ebay.co.uk	Auctions	31,000,000	1.7%	5,900,000,000	Yes
122	wikimedia.org	Dictionaries & Encyclopedias	31,000,000	1.7%	120,000,000	No
123	taringa.net	Social Networks	31,000,000	1.6%	530,000,000	Yes
124	avg.com	Antivirus & Malware	31,000,000	1.7%	230,000,000	No
125	hudong.com	Celebrities & Entertainment News	31,000,000	1.6%	170,000,000	Yes
126	96pk.com	Shopping	31,000,000	1.7%	110,000,000	No
127	thefreedictionary.com	Dictionaries & Encyclopedias	31,000,000	1.7%	110,000,000	Yes
128	seesaa.net	Blogging Resources & Services	31,000,000	1.7%	230,000,000	Yes
129	target.com	Mass Merchants & Department Stores	31,000,000	1.7%	540,000,000	Yes
130	hi5.com	Social Networks	31,000,000	1.7%	4,400,000,000	Yes
131	tripadvisor.com	Travel	29,000,000	1.5%	340,000,000	Yes
132	mcafee.com	Antivirus & Malware	28,000,000	1.5%	160,000,000	Yes
133	reference.com	Dictionaries & Encyclopedias	28,000,000	1.5%	250,000,000	Yes
134	dell.com	Computer Hardware	28,000,000	1.5%	410,000,000	Yes
135	att.com	Phone Service Providers	28,000,000	1.5%	880,000,000	Yes
136	bigpoint.com	Online Games	28,000,000	1.5%	1,200,000,000	Yes
137	foxsports.com	Sports News	28,000,000	1.5%	660,000,000	Yes
138	51wan.com	Fantasy Sports	28,000,000	1.5%	90,000,000	Yes
139	10086.cn	Web Apps & Online Tools	28,000,000	1.5%	650,000,000	Yes
140	huffingtonpost.com	News	28,000,000	1.5%	490,000,000	Yes
141	ganji.com	Shopping Portals & Search Engines	28,000,000	1.5%	960,000,000	Yes
142	amazon.de	Entertainment Media	28,000,000	1.5%	1,200,000,000	No
143	nifty.com	Web Portals	28,000,000	1.5%	800,000,000	Yes
144	comcast.net	Web Portals	28,000,000	1.5%	4,100,000,000	Yes
145	pomoho.com	Online Video	28,000,000	1.5%	190,000,000	Yes
146	amazon.co.uk	Shopping Portals & Search Engines	28,000,000	1.5%	1,000,000,000	No
147	kaixin001.com	Social Networks	28,000,000	1.5%	1,400,000,000	No
148	imesh.com	Music Streams & Downloads	28,000,000	1.5%	210,000,000	Yes
149	wellsfargo.com	Banking	26,000,000	1.4%	1,500,000,000	Yes
150	free.fr	ISPs	26,000,000	1.4%	870,000,000	Yes
151	m18.com	Fashion & Style	26,000,000	1.4%	330,000,000	No
152	people.com.cn	News	26,000,000	1.4%	330,000,000	Yes
153	ikea.com	Home Furnishings	26,000,000	1.4%	790,000,000	No
154	narod.ru	Web Hosting & Domain Registration	26,000,000	1.4%	280,000,000	Yes
155	sparkstudios.com	Marketing Services	26,000,000	1.4%	89,000,000	No
156	dailymail.co.uk	Newspapers	26,000,000	1.4%	370,000,000	Yes
157	brothersoft.com	Freeware & Shareware	26,000,000	1.4%	130,000,000	Yes
158	weibo.com	Online Video	26,000,000	1.4%	670,000,000	Yes
159	sourceforge.net	Open Source	26,000,000	1.4%	130,000,000	Yes
160	slideshare.net	Business Plans & Presentations	26,000,000	1.4%	80,000,000	Yes
161	groupon.com	Coupons & Discount Offers	26,000,000	1.4%	190,000,000	Yes
162	iegallery.com		26,000,000	1.4%	55,000,000	No
163	iminent.com	Clip Art & Animated GIFs	25,000,000	1.4%	1,100,000,000	Yes
164	kugou.com	Movies	25,000,000	1.4%	110,000,000	Yes
165	thepiratebay.org	File Sharing & Hosting	24,000,000	1.3%	640,000,000	Yes
166	pptv.com	TV Networks & Stations	24,000,000	1.3%	300,000,000	Yes
167	verizonwireless.com	Phone Service Providers	24,000,000	1.3%	730,000,000	Yes
168	hatena.ne.jp	Blogging Resources & Services	24,000,000	1.3%	160,000,000	Yes
169	americanexpress.com	Credit Cards	24,000,000	1.3%	410,000,000	Yes
170	3366.com	Arts & Entertainment	23,000,000	1.2%	890,000,000	No
171	9223.com	Directories & Listings	23,000,000	1.3%	870,000,000	Yes
172	126.com	Web Portals	23,000,000	1.2%	960,000,000	Yes
173	expedia.com	Travel	23,000,000	1.2%	540,000,000	Yes
174	wowan365.com	Computer & Video Games	23,000,000	1.3%	54,000,000	No
175	wikia.com	Online Communities	23,000,000	1.3%	410,000,000	Yes
176	yytou.cn		23,000,000	1.2%	66,000,000	No
177	fileserve.com	File Sharing & Hosting	23,000,000	1.3%	210,000,000	No
178	peeplo.com	Search Engines	23,000,000	1.3%	88,000,000	Yes
179	autohome.com.cn	Vehicle Shopping	23,000,000	1.2%	1,700,000,000	Yes
180	hotfile.com	File Sharing & Hosting	23,000,000	1.3%	170,000,000	Yes
181	tripod.com	Web Design & Development	23,000,000	1.2%	87,000,000	Yes
182	netlog.com	Social Networks	23,000,000	1.2%	1,300,000,000	Yes
183	726.com	Web Portals	23,000,000	1.3%	720,000,000	Yes
184	inbox.com	Email & Messaging	23,000,000	1.2%	210,000,000	Yes
185	kuwo.cn	Celebrities & Entertainment News	23,000,000	1.3%	270,000,000	Yes
186	livejournal.com	Blogging Resources & Services	23,000,000	1.2%	650,000,000	Yes
187	cncmax.cn	Web Portals	23,000,000	1.2%	110,000,000	Yes
188	comcast.com	Service Providers	22,000,000	1.2%	170,000,000	Yes
189	39.net	Health	22,000,000	1.2%	370,000,000	Yes
190	baixaki.com.br	Internet & Telecom	21,000,000	1.1%	370,000,000	Yes
191	douban.com	Social Networks	21,000,000	1.1%	370,000,000	Yes
192	match.com	Dating & Personals	21,000,000	1.1%	1,300,000,000	Yes
193	soufun.com	Real Estate	21,000,000	1.2%	480,000,000	Yes
194	china.com	Web Portals	21,000,000	1.1%	1,100,000,000	Yes
195	vancl.com	Apparel	21,000,000	1.1%	370,000,000	No
196	orange.fr	Web Portals	21,000,000	1.1%	5,900,000,000	Yes
197	haohaowan.com	Cartoons	21,000,000	1.1%	60,000,000	Yes
198	windowslivehelp.com	Email & Messaging	21,000,000	1.1%	120,000,000	No
199	maktoob.com	Web Portals	21,000,000	1.1%	410,000,000	Yes
200	biglobe.ne.jp	Web Portals	21,000,000	1.1%	540,000,000	Yes
201	letv.com	Online Media	21,000,000	1.1%	210,000,000	Yes
202	foxnews.com	Broadcast & Network News	21,000,000	1.1%	650,000,000	Yes
203	glispa.com	Search Engine Optimization & Marketing	21,000,000	1.2%	42,000,000	No
204	vimeo.com		21,000,000	1.1%	120,000,000	Yes
205	mozilla.org	Internet Clients & Browsers	21,000,000	1.1%	130,000,000	No
206	irs.gov	Accounting & Auditing	21,000,000	1.1%	400,000,000	No
207	jiayuan.com	Dating & Personals	21,000,000	1.1%	870,000,000	Yes
208	mercadolivre.com.br	Auctions	21,000,000	1.1%	790,000,000	Yes
209	yelp.com	Directories & Listings	21,000,000	1.1%	190,000,000	Yes
210	geocities.jp	Web Hosting & Domain Registration	21,000,000	1.1%	210,000,000	Yes
211	ig.com.br	Web Portals	21,000,000	1.1%	1,200,000,000	Yes
212	livingsocial.com	Coupons & Discount Offers	21,000,000	1.1%	130,000,000	Yes
213	musica.com	Music & Audio	21,000,000	1.1%	310,000,000	Yes
214	samsung.com	Consumer Electronics	21,000,000	1.1%	170,000,000	Yes
215	y8.com	Flash-Based Entertainment	21,000,000	1.1%	1,400,000,000	Yes
216	eastmoney.com	Investing	21,000,000	1.1%	940,000,000	Yes
217	pandora.com	Radio	21,000,000	1.2%	1,500,000,000	Yes
218	rambler.ru	Web Portals	20,000,000	1%	2,300,000,000	Yes
219	depositfiles.com	File Sharing & Hosting	20,000,000	1%	170,000,000	Yes
220	360buy.com	E-Commerce Services	20,000,000	1%	440,000,000	Yes
221	uuzu.com	Computer & Video Games	19,000,000	1%	50,000,000	No
222	indeed.com	Jobs	19,000,000	1%	550,000,000	Yes
223	ups.com	Mail & Package Delivery	19,000,000	1%	280,000,000	Yes
224	facemoods.com	Social Network Apps & Add-Ons	19,000,000	1%	250,000,000	Yes
225	mlb.com	Baseball	19,000,000	1%	450,000,000	Yes
226	java.com	Java	19,000,000	1%	97,000,000	No
227	xdwan.cn		19,000,000	1%	38,000,000	Yes
228	commentcamarche.net	Technology News	19,000,000	1%	170,000,000	Yes
229	t-online.de	Web Portals	19,000,000	1%	960,000,000	Yes
230	bestbuy.com	Consumer Electronics	19,000,000	1%	370,000,000	Yes
231	nate.com	Web Portals	19,000,000	1%	3,000,000,000	Yes
232	yellowpages.com	Business & Personal Listings	19,000,000	1%	140,000,000	Yes
233	6.cn	Online Video	19,000,000	1%	110,000,000	Yes
234	reuters.com	News	19,000,000	1%	210,000,000	Yes
235	nba.com	Basketball	19,000,000	1%	370,000,000	Yes
236	nhk.or.jp	TV Networks & Stations	19,000,000	1%	280,000,000	No
237	cocolog-nifty.com	Blogging Resources & Services	19,000,000	1%	150,000,000	Yes
238	in.com	Web Portals	19,000,000	1%	190,000,000	Yes
239	abril.com.br	Web Portals	19,000,000	1%	280,000,000	Yes
240	nextag.com	Shopping	19,000,000	1%	110,000,000	Yes
241	kakaku.com	Price Comparisons	19,000,000	1%	720,000,000	Yes
242	huanqiu.com	News	19,000,000	1%	550,000,000	Yes
243	rincondelvago.com	Education	19,000,000	1%	90,000,000	Yes
244	usps.com	Mail & Package Delivery	19,000,000	1%	330,000,000	No
245	friv.com	Online Games	19,000,000	1%	340,000,000	Yes
246	capitalone.com	Credit Cards	19,000,000	1%	540,000,000	Yes
247	weather.com.cn	Weather	19,000,000	1%	120,000,000	Yes
248	okwave.jp	Forum & Chat Providers	19,000,000	1%	60,000,000	Yes
249	leboncoin.fr	Classifieds	19,000,000	1%	5,300,000,000	Yes
250	nicovideo.jp	Online Video	19,000,000	1%	2,100,000,000	Yes
251	norton.com	Network Security	19,000,000	1%	130,000,000	No
252	partycasino.com		18,000,000	0.9%	49,000,000	Yes
253	yzz.cn	Celebrities & Entertainment News	18,000,000	0.9%	88,000,000	Yes
254	marketgid.com	Shopping Portals & Search Engines	18,000,000	1%	210,000,000	Yes
255	web.de	Web Portals	18,000,000	0.9%	1,300,000,000	Yes
256	allrecipes.com	Cooking & Recipes	18,000,000	1%	250,000,000	Yes
257	17173.com	Roleplaying Games	18,000,000	0.9%	250,000,000	Yes
258	ameba.jp	Blogging Resources & Services	18,000,000	0.9%	1,700,000,000	Yes
259	foxtab.com	Internet Clients & Browsers	18,000,000	0.9%	73,000,000	Yes
260	homedepot.com	Home Improvement	18,000,000	0.9%	340,000,000	No
261	groupon.com.br	Coupons & Discount Offers	18,000,000	1%	89,000,000	Yes
262	guardian.co.uk	Newspapers	18,000,000	0.9%	160,000,000	Yes
263	skycn.com	Software	18,000,000	0.9%	96,000,000	Yes
264	avast.com		18,000,000	0.9%	74,000,000	No
265	cyworld.com	Celebrities & Entertainment News	18,000,000	1%	1,700,000,000	No
266	hulu.com	Online Video	18,000,000	0.9%	450,000,000	Yes
267	exblog.jp	Blogging Resources & Services	18,000,000	0.9%	190,000,000	Yes
268	vk.com	Social Networks	18,000,000	0.9%	1,300,000,000	No
269	wn.com	World News	18,000,000	0.9%	34,000,000	Yes
270	surveymonkey.com	Web Apps & Online Tools	18,000,000	0.9%	170,000,000	Yes
271	nk.pl	Social Networks	18,000,000	0.9%	5,400,000,000	Yes
272	real.com	Media Players	18,000,000	0.9%	55,000,000	Yes
273	monografias.com	Web Portals	18,000,000	0.9%	74,000,000	Yes
274	clubpenguin.com	Virtual Worlds	17,000,000	0.9%	650,000,000	No
275	ocn.ne.jp	Web Portals	17,000,000	0.9%	300,000,000	Yes
276	microsofttranslator.com	Translation Tools & Resources	17,000,000	0.9%	81,000,000	Yes
277	oyunlar1.com	Online Games	17,000,000	0.9%	960,000,000	Yes
278	onet.pl	Web Portals	17,000,000	0.9%	3,300,000,000	Yes
279	boosj.com	Online Video	17,000,000	0.9%	130,000,000	Yes
280	intuit.com	Business Operations	17,000,000	0.9%	410,000,000	Yes
281	webmd.com	Medical Literature & Resources	17,000,000	0.9%	160,000,000	Yes
282	chinanews.com	Cosmetic Surgery	17,000,000	0.9%	440,000,000	Yes
283	twitpic.com	Online Communities	17,000,000	0.9%	160,000,000	Yes
284	so-net.ne.jp	Web Portals	17,000,000	0.9%	160,000,000	Yes
285	uoyoo.cn		17,000,000	0.9%	51,000,000	Yes
286	metrolyrics.com	Music & Audio	17,000,000	0.9%	60,000,000	Yes
287	yomiuri.co.jp	Newspapers	17,000,000	0.9%	340,000,000	Yes
288	wordreference.com		17,000,000	0.9%	190,000,000	Yes
289	telegraph.co.uk	Newspapers	17,000,000	0.9%	210,000,000	Yes
290	2ch.net	Forum & Chat Providers	17,000,000	0.9%	650,000,000	Yes
291	tagged.com	Online Games	16,000,000	0.9%	4,000,000,000	Yes
292	wsj.com	Newspapers	16,000,000	0.8%	210,000,000	Yes
293	game5.com	Massive Multiplayer	16,000,000	0.9%	37,000,000	Yes
294	dangdang.com	Book Retailers	16,000,000	0.9%	370,000,000	Yes
295	ucoz.ru	Web Design & Development	16,000,000	0.9%	250,000,000	Yes
296	ccb.com.cn	Banking	16,000,000	0.9%	250,000,000	No
297	wp.pl		16,000,000	0.9%	2,200,000,000	Yes
298	m1905.com	TV Networks & Stations	16,000,000	0.9%	210,000,000	Yes
299	1ting.com	Music & Audio	16,000,000	0.8%	230,000,000	Yes
300	sonico.com	Social Networks	16,000,000	0.9%	540,000,000	Yes
301	macys.com	Mass Merchants & Department Stores	16,000,000	0.8%	650,000,000	Yes
302	wan71.com		16,000,000	0.8%	42,000,000	No
303	hexun.com	Investing	16,000,000	0.9%	190,000,000	Yes
304	careerbuilder.com	Job Listings	16,000,000	0.9%	400,000,000	Yes
305	typepad.com	Blogging Resources & Services	16,000,000	0.9%	90,000,000	Yes
306	shopping.com	Price Comparisons	16,000,000	0.8%	73,000,000	Yes
307	zing.vn	Viet Nam	16,000,000	0.9%	1,900,000,000	Yes
308	imvu.com	Social Networks	16,000,000	0.9%	210,000,000	Yes
309	mop.com	Roleplaying Games	16,000,000	0.8%	190,000,000	Yes
310	verycd.com	File Sharing & Hosting	16,000,000	0.9%	160,000,000	Yes
311	whitepages.com	Search Engines	16,000,000	0.9%	210,000,000	Yes
312	over-blog.com	Blogging Resources & Services	16,000,000	0.9%	170,000,000	Yes
313	robtex.com		16,000,000	0.8%	37,000,000	Yes
314	jugem.jp	Blogging Resources & Services	16,000,000	0.8%	99,000,000	Yes
315	monster.com	Jobs	16,000,000	0.9%	340,000,000	Yes
316	allegro.pl	Auctions	16,000,000	0.9%	4,400,000,000	Yes
317	wanmei.com	Vision Care	16,000,000	0.9%	96,000,000	No
318	95599.cn	Banking	16,000,000	0.9%	210,000,000	No
319	picnik.com	Photographic & Digital Arts	16,000,000	0.8%	1,100,000,000	Yes
320	zimbio.com	Celebrities & Entertainment News	16,000,000	0.8%	140,000,000	Yes
321	duowan.com	Online Games	16,000,000	0.9%	400,000,000	Yes
322	fedex.com	Mail & Package Delivery	16,000,000	0.9%	310,000,000	Yes
323	abchina.com	Banking	16,000,000	0.9%	230,000,000	No
324	lowes.com	Home Improvement	16,000,000	0.8%	340,000,000	Yes
325	tenpay.com	Merchant Services & Payment Systems	16,000,000	0.8%	190,000,000	No
326	moonbasa.com	Undergarments	16,000,000	0.9%	97,000,000	No
327	asahi.com	News	16,000,000	0.9%	260,000,000	Yes
328	gmx.net	Web Portals	16,000,000	0.9%	720,000,000	Yes
329	juegos.com	Online Games	16,000,000	0.9%	550,000,000	Yes
330	sears.com	Mass Merchants & Department Stores	16,000,000	0.8%	280,000,000	Yes
