Rank	Site	Category	Unique Visitors (users)	Reach	Page Views	Has Advertising
664	national-lottery.co.uk		9,000,000	0.5%	310,000,000	Yes
665	euroresidentes.com	Web Portals	9,000,000	0.5%	45,000,000	Yes
666	bloomberg.com	Business News	9,000,000	0.5%	140,000,000	Yes
667	europa.eu	Multilateral Organizations	9,000,000	0.5%	110,000,000	No
668	qqwangming.org	Online Goodies	9,000,000	0.5%	120,000,000	Yes
669	114la.com	Directories & Listings	9,000,000	0.5%	250,000,000	Yes
670	24h.com.vn	News	9,000,000	0.5%	590,000,000	Yes
671	yaplog.jp	Blogging Resources & Services	9,000,000	0.5%	67,000,000	Yes
672	onlinedown.net	Software	9,000,000	0.5%	28,000,000	Yes
673	duote.com	Software	9,000,000	0.5%	55,000,000	Yes
674	credit-agricole.fr	Banking	9,000,000	0.5%	400,000,000	Yes
675	oricon.co.jp	Music & Audio	9,000,000	0.5%	67,000,000	Yes
676	nydailynews.com	Gossip & Tabloid News	9,000,000	0.5%	67,000,000	Yes
677	plala.or.jp	ISPs	9,000,000	0.5%	73,000,000	Yes
678	ancestry.com	Ancestry & Genealogy	9,000,000	0.5%	970,000,000	Yes
679	sanook.com	Web Portals	9,000,000	0.5%	480,000,000	Yes
680	etao.com	Fashion & Style	9,000,000	0.5%	50,000,000	Yes
681	dipan.com	Computer & Video Games	9,000,000	0.5%	31,000,000	Yes
682	cookpad.com	Cooking & Recipes	9,000,000	0.5%	370,000,000	Yes
683	hurriyet.com.tr	Newspapers	9,000,000	0.5%	800,000,000	Yes
684	android.com	Mobile Apps & Add-Ons	9,000,000	0.5%	130,000,000	No
685	righthealth.com	Medical Literature & Resources	9,000,000	0.5%	37,000,000	Yes
686	windowsmedia.com	Music & Audio	9,000,000	0.5%	23,000,000	Yes
687	ojogos.com.br	Online Games	9,000,000	0.5%	250,000,000	Yes
688	amazon.fr	Shopping Portals & Search Engines	9,000,000	0.5%	210,000,000	No
689	tesco.com	Mass Merchants & Department Stores	9,000,000	0.5%	360,000,000	Yes
690	hyves.nl	Social Networks	9,000,000	0.5%	3,600,000,000	Yes
691	enfemenino.com	Women's Interests	9,000,000	0.5%	54,000,000	Yes
692	weebly.com	Web Design & Development	9,000,000	0.5%	73,000,000	Yes
693	xpg.com.br	Web Hosting & Domain Registration	9,000,000	0.5%	98,000,000	Yes
694	poptropica.com	Virtual Worlds	9,000,000	0.5%	870,000,000	No
695	dygod.net	TV Shows & Programs	8,900,000	0.5%	50,000,000	Yes
696	fidelity.com	Retirement & Pension	8,900,000	0.5%	540,000,000	Yes
697	nokia.com	Mobile Phones	8,900,000	0.5%	98,000,000	No
698	vnet.cn	Web Portals	8,900,000	0.5%	45,000,000	Yes
699	nhl.com	Hockey	8,900,000	0.5%	210,000,000	Yes
700	espncricinfo.com	Cricket	8,900,000	0.5%	230,000,000	Yes
701	impress.co.jp	Computers & Electronics	8,900,000	0.5%	120,000,000	Yes
702	otto.de	Mass Merchants & Department Stores	8,900,000	0.5%	440,000,000	No
703	kickasstorrents.com	File Sharing & Hosting	8,900,000	0.5%	120,000,000	Yes
704	gd118114.cn	Web Services	8,900,000	0.5%	31,000,000	Yes
705	autotrader.com	Vehicle Shopping	8,900,000	0.5%	410,000,000	Yes
706	direct.gov.uk	Law & Government	8,900,000	0.5%	400,000,000	Yes
707	coolmath-games.com	Mathematics	8,900,000	0.5%	230,000,000	Yes
708	vevo.com	Music Streams & Downloads	8,900,000	0.5%	51,000,000	Yes
709	shvoong.com	Arts & Entertainment	8,900,000	0.5%	23,000,000	Yes
710	fandango.com	Movie Listings & Theater Showtimes	8,900,000	0.5%	98,000,000	Yes
711	mayoclinic.com	Health Conditions	8,900,000	0.5%	66,000,000	Yes
712	zaycev.net	Music Streams & Downloads	8,900,000	0.5%	410,000,000	Yes
713	readnovel.com	E-Books	8,900,000	0.5%	540,000,000	Yes
714	thesun.co.uk	Newspapers	8,900,000	0.5%	140,000,000	Yes
715	atwiki.jp	Web Hosting & Domain Registration	8,900,000	0.5%	210,000,000	Yes
716	yesky.com	Computers & Electronics	8,800,000	0.5%	74,000,000	Yes
717	travelocity.com	Travel Agencies & Services	8,800,000	0.5%	210,000,000	Yes
718	livescore.com		8,800,000	0.5%	720,000,000	Yes
719	ovi.com	Mobile Apps & Add-Ons	8,800,000	0.5%	250,000,000	No
720	vnexpress.net	News	8,800,000	0.5%	600,000,000	Yes
721	kp.ru	News	8,800,000	0.5%	80,000,000	Yes
722	stumbleupon.com	Web Apps & Online Tools	8,300,000	0.4%	230,000,000	Yes
723	discovery.com	TV Networks & Stations	8,300,000	0.4%	73,000,000	Yes
724	bahn.de	Bus & Rail	8,300,000	0.4%	170,000,000	Yes
725	topix.com	Local News	8,300,000	0.4%	110,000,000	Yes
726	noaa.gov	Water & Marine Sciences	8,300,000	0.4%	130,000,000	No
727	shangdu.com		8,300,000	0.4%	98,000,000	Yes
728	programas-gratis.net	Software	8,300,000	0.4%	51,000,000	Yes
729	trulia.com	Real Estate Listings	8,300,000	0.4%	250,000,000	Yes
730	repubblica.it	Politics	8,300,000	0.4%	370,000,000	Yes
731	associatedcontent.com	General Reference	8,300,000	0.4%	31,000,000	Yes
732	goal.com	Soccer	8,300,000	0.4%	120,000,000	Yes
733	archive.org	General Reference	8,300,000	0.4%	80,000,000	No
734	pclady.com.cn	Fashion & Style	8,300,000	0.4%	140,000,000	Yes
735	ibm.com	Computers & Electronics	8,200,000	0.4%	170,000,000	No
736	nationalgeographic.com	Magazines	8,200,000	0.4%	88,000,000	Yes
737	digg.com	Online Communities	8,200,000	0.4%	50,000,000	Yes
738	iciba.com	Language Resources	8,200,000	0.4%	110,000,000	Yes
739	wwe.com	Sports	8,200,000	0.4%	140,000,000	Yes
740	videosurf.com	Online Video	8,200,000	0.4%	89,000,000	Yes
741	gismeteo.ru	Weather	8,200,000	0.4%	140,000,000	Yes
742	myvideo.de	Online Video	8,200,000	0.4%	110,000,000	Yes
743	partypoker.fr		8,200,000	0.4%	42,000,000	Yes
744	usbank.com	Banking	8,200,000	0.4%	440,000,000	No
745	xcar.com.cn	Autos & Vehicles	8,200,000	0.4%	310,000,000	Yes
746	bleacherreport.com	American Football	8,200,000	0.4%	300,000,000	Yes
747	geocities.co.jp	Web Hosting & Domain Registration	8,200,000	0.4%	41,000,000	Yes
748	rtl.de	TV Networks & Stations	8,200,000	0.4%	140,000,000	Yes
749	drugs.com	Health	8,200,000	0.4%	45,000,000	Yes
750	haodf.com	Hospitals & Treatment Centers	8,200,000	0.4%	81,000,000	No
751	chinadaily.com.cn	News	8,200,000	0.4%	55,000,000	Yes
752	juegosdiarios.com	Casual Games	8,200,000	0.4%	230,000,000	Yes
753	directv.com	Cable & Satellite Providers	8,200,000	0.4%	140,000,000	No
754	argos.co.uk	Mass Merchants & Department Stores	8,200,000	0.4%	170,000,000	Yes
755	yam.com	Web Portals	8,200,000	0.4%	230,000,000	Yes
756	urbandictionary.com	Humor	8,200,000	0.4%	41,000,000	Yes
757	corriere.it	Newspapers	8,200,000	0.4%	330,000,000	Yes
758	gifts.com	Gifts	8,200,000	0.4%	28,000,000	Yes
759	qqgexing.com	Social Network Apps & Add-Ons	8,200,000	0.4%	720,000,000	Yes
760	autoscout24.de	Vehicle Shopping	8,200,000	0.4%	800,000,000	Yes
761	24quan.com	Coupons & Discount Offers	8,200,000	0.4%	34,000,000	No
762	jimdo.com	Web Design & Development	8,200,000	0.4%	89,000,000	Yes
763	readme.ru	News	8,200,000	0.4%	81,000,000	Yes
764	360doc.com	Social Sciences	8,200,000	0.4%	61,000,000	Yes
765	9ku.com	Music Streams & Downloads	8,100,000	0.4%	120,000,000	Yes
766	kapook.com	Web Portals	8,100,000	0.4%	170,000,000	Yes
767	piriform.com	Software Utilities	8,100,000	0.4%	34,000,000	Yes
768	suning.cn	Home Appliances	8,100,000	0.4%	66,000,000	No
769	guiaconsumidor.com		8,100,000	0.4%	28,000,000	No
770	grepolis.com	Massive Multiplayer	8,100,000	0.4%	1,300,000,000	No
771	worldslastchance.com	Christianity	8,100,000	0.4%	16,000,000	Yes
772	ya.ru	Search Engines	8,100,000	0.4%	120,000,000	Yes
773	infospace.com	Search Engines	8,100,000	0.4%	73,000,000	No
774	jxedt.com	Vehicle Licensing & Registration	8,100,000	0.4%	270,000,000	Yes
775	pcgames.com.cn	Online Games	8,100,000	0.4%	67,000,000	Yes
776	examiner.com	News	8,100,000	0.4%	41,000,000	Yes
777	snapdeal.com	Coupons & Discount Offers	8,100,000	0.4%	31,000,000	Yes
778	cooks.com	Cooking & Recipes	8,100,000	0.4%	99,000,000	Yes
779	cbs.com	TV Shows & Programs	8,100,000	0.4%	110,000,000	Yes
780	usenet.nl	File Sharing & Hosting	8,100,000	0.4%	21,000,000	No
781	made-in-china.com	Business & Industrial	8,100,000	0.4%	62,000,000	Yes
782	cnxad.com		8,100,000	0.4%	21,000,000	No
783	partypoker.it		8,100,000	0.4%	38,000,000	Yes
784	lenovo.com	Computer Hardware	8,100,000	0.4%	130,000,000	Yes
785	engadget.com	Consumer Electronics	8,100,000	0.4%	54,000,000	Yes
786	888.com		8,100,000	0.4%	17,000,000	Yes
787	ziddu.com	Photo & Video Sharing	8,100,000	0.4%	66,000,000	Yes
788	city-data.com	Real Estate	8,100,000	0.4%	38,000,000	Yes
789	juchang.com	Movies	8,100,000	0.4%	73,000,000	Yes
790	marktplaats.nl	Classifieds	8,100,000	0.4%	1,700,000,000	Yes
791	appspot.com	Web Apps & Online Tools	8,100,000	0.4%	56,000,000	Yes
792	milliyet.com.tr	Newspapers	8,100,000	0.4%	970,000,000	Yes
793	ebay.com.au	Auctions	8,100,000	0.4%	1,300,000,000	Yes
794	shockwave.com	Casual Games	8,100,000	0.4%	82,000,000	Yes
795	mercadolibre.com.ar	Classifieds	8,000,000	0.4%	490,000,000	Yes
796	immobilienscout24.de	Real Estate Listings	8,000,000	0.4%	450,000,000	Yes
797	catho.com.br	Jobs	8,000,000	0.4%	110,000,000	Yes
798	galeon.com	Web Hosting & Domain Registration	8,000,000	0.4%	28,000,000	Yes
799	cctv.com	TV & Video	7,600,000	0.4%	34,000,000	Yes
800	submarino.com.br	Shopping Portals & Search Engines	7,500,000	0.4%	99,000,000	Yes
801	pchome.com.tw	Web Portals	7,500,000	0.4%	380,000,000	Yes
802	123people.com	People Search	7,500,000	0.4%	24,000,000	Yes
803	priceminister.com	Shopping	7,500,000	0.4%	140,000,000	Yes
804	tf1.fr	TV Networks & Stations	7,500,000	0.4%	160,000,000	Yes
805	nordstrom.com	Mass Merchants & Department Stores	7,500,000	0.4%	210,000,000	No
806	wer-kennt-wen.de	Social Networks	7,500,000	0.4%	2,500,000,000	Yes
807	king.com	Online Games	7,500,000	0.4%	860,000,000	Yes
808	virginmedia.com	News	7,500,000	0.4%	310,000,000	Yes
809	utorrent.com	Multimedia Software	7,500,000	0.4%	46,000,000	No
810	bt.com	Service Providers	7,500,000	0.4%	160,000,000	Yes
811	aol.co.uk	Web Portals	7,500,000	0.4%	170,000,000	Yes
812	bb.com.br	Banking	7,500,000	0.4%	310,000,000	No
813	pole-emploi.fr	Welfare & Unemployment	7,500,000	0.4%	780,000,000	No
814	rayli.com.cn	Beauty & Fitness	7,500,000	0.4%	210,000,000	Yes
815	meteofrance.com	Weather	7,500,000	0.4%	110,000,000	Yes
816	stayfriends.de	Social Networks	7,500,000	0.4%	190,000,000	Yes
817	ekolay.net	Web Portals	7,500,000	0.4%	330,000,000	Yes
818	businessweek.com	Business & Industrial	7,500,000	0.4%	31,000,000	Yes
819	rutracker.org		7,500,000	0.4%	410,000,000	Yes
820	newgrounds.com	Casual Games	7,500,000	0.4%	97,000,000	Yes
821	privalia.com	Apparel	7,500,000	0.4%	110,000,000	Yes
822	netshoes.com.br	Footwear	7,500,000	0.4%	120,000,000	Yes
823	walgreens.com	Mass Merchants & Department Stores	7,500,000	0.4%	210,000,000	Yes
824	52pk.com	Online Games	7,500,000	0.4%	80,000,000	Yes
825	news.cn	Anime & Manga	7,500,000	0.4%	45,000,000	Yes
826	eonline.com	Arts & Entertainment	7,500,000	0.4%	120,000,000	Yes
827	gamezer.com	Massive Multiplayer	7,500,000	0.4%	110,000,000	Yes
828	groupalia.com	Travel	7,500,000	0.4%	34,000,000	No
829	grooveshark.com	Music Streams & Downloads	7,500,000	0.4%	210,000,000	Yes
830	usazm.net		7,500,000	0.4%	17,000,000	No
831	sciencedirect.com	Science	7,500,000	0.4%	66,000,000	Yes
832	torrentreactor.net	File Sharing & Hosting	7,500,000	0.4%	26,000,000	Yes
833	wer-weiss-was.de	Internet & Telecom	7,500,000	0.4%	18,000,000	Yes
834	fotolog.com	Photo & Video Sharing	7,500,000	0.4%	130,000,000	Yes
835	deezer.com	Music Streams & Downloads	7,500,000	0.4%	310,000,000	Yes
836	stackoverflow.com	Programming	7,500,000	0.4%	45,000,000	Yes
837	alice.it	News	7,400,000	0.4%	280,000,000	Yes
838	overture.com	Advertising & Marketing	7,400,000	0.4%	50,000,000	Yes
839	easyjet.com	Travel	7,400,000	0.4%	120,000,000	Yes
840	torrentdownloads.net	File Sharing & Hosting	7,400,000	0.4%	41,000,000	Yes
841	classmates.com	Alumni & Reunions	7,400,000	0.4%	79,000,000	Yes
842	weblio.jp	Dictionaries & Encyclopedias	7,400,000	0.4%	41,000,000	Yes
843	337.com	Flash-Based Entertainment	7,400,000	0.4%	37,000,000	No
844	wizard101.com	Massive Multiplayer	7,400,000	0.4%	49,000,000	Yes
845	sahibinden.com	Classifieds	7,400,000	0.4%	1,900,000,000	Yes
846	livestrong.com	Nutrition	7,400,000	0.4%	46,000,000	Yes
847	retailmenot.com	Coupons & Discount Offers	7,400,000	0.4%	31,000,000	Yes
848	logmein.com	Networking	7,400,000	0.4%	340,000,000	Yes
849	chefkoch.de	Cooking & Recipes	7,400,000	0.4%	140,000,000	Yes
850	usaa.com	Finance	7,400,000	0.4%	380,000,000	Yes
851	reverso.net	Translation Tools & Resources	7,400,000	0.4%	110,000,000	Yes
852	btjunkie.org	File Sharing & Hosting	7,400,000	0.4%	210,000,000	Yes
853	yahoo.com.tw	Web Portals	7,400,000	0.4%	450,000,000	Yes
854	my4399.com	Online Games	7,400,000	0.4%	38,000,000	No
855	staples.com	Office Supplies	7,400,000	0.4%	97,000,000	Yes
856	tvguide.com	TV Shows & Programs	7,400,000	0.4%	73,000,000	Yes
857	aibang.com	Web Services	7,400,000	0.4%	38,000,000	Yes
858	zhenai.com	Dating & Personals	7,400,000	0.4%	250,000,000	No
859	nikkansports.com	Sports News	7,400,000	0.4%	110,000,000	Yes
860	nasa.gov	Astronomy	7,400,000	0.4%	81,000,000	No
861	minijuegos.com	Casual Games	7,400,000	0.4%	160,000,000	Yes
862	2bj.cn		7,400,000	0.4%	37,000,000	No
863	nhaccuatui.com	Viet Nam	7,400,000	0.4%	300,000,000	Yes
864	xbox.com	Xbox	7,400,000	0.4%	130,000,000	Yes
865	thesaurus.com	Dictionaries & Encyclopedias	7,400,000	0.4%	67,000,000	Yes
866	recadopop.com	Social Network Apps & Add-Ons	7,400,000	0.4%	110,000,000	Yes
867	cbslocal.com	TV Networks & Stations	7,400,000	0.4%	74,000,000	Yes
868	gumtree.com	Classifieds	7,400,000	0.4%	370,000,000	Yes
869	zoosnet.net	Software	7,400,000	0.4%	45,000,000	No
870	xywy.com	Health	7,400,000	0.4%	38,000,000	Yes
871	shopzilla.com		7,400,000	0.4%	55,000,000	Yes
872	wix.com	TV Shows & Programs	7,400,000	0.4%	81,000,000	No
873	fanpop.com	TV Shows & Programs	7,400,000	0.4%	61,000,000	Yes
874	newhua.com	Software Utilities	7,400,000	0.4%	28,000,000	Yes
875	cnbc.com	Business News	7,400,000	0.4%	230,000,000	Yes
876	lloydstsb.co.uk	Banking	7,400,000	0.4%	450,000,000	No
877	browserchoice.eu	Internet Clients & Browsers	7,400,000	0.4%	18,000,000	No
878	oracle.com	Data Management	7,400,000	0.4%	110,000,000	Yes
879	nikkei.com	Business News	7,400,000	0.4%	190,000,000	Yes
880	wiley.com	Books & Literature	7,400,000	0.4%	67,000,000	Yes
881	groupon.fr	Shopping	7,400,000	0.4%	55,000,000	No
882	sonyericsson.com	Mobile Phones	7,300,000	0.4%	74,000,000	Yes
883	box10.com	Online Games	7,300,000	0.4%	88,000,000	Yes
884	news.de	News	7,300,000	0.4%	23,000,000	Yes
885	break.com	Humor	7,300,000	0.4%	110,000,000	Yes
886	meinestadt.de	Web Portals	7,300,000	0.4%	130,000,000	Yes
887	kbb.com	Motorcycles	7,300,000	0.4%	250,000,000	Yes
888	donga.com	Newspapers	7,300,000	0.4%	140,000,000	Yes
889	51seer.com	Robotics	6,900,000	0.4%	55,000,000	Yes
890	jrj.com.cn	Investing	6,900,000	0.4%	120,000,000	Yes
891	hinet.net	Web Portals	6,900,000	0.4%	230,000,000	Yes
892	clickon.com.br	Coupons & Discount Offers	6,900,000	0.4%	28,000,000	Yes
893	wordpress.org	Blogging Resources & Services	6,900,000	0.4%	74,000,000	No
894	interpark.com	Shopping	6,900,000	0.4%	210,000,000	No
895	state.gov	Government	6,800,000	0.4%	210,000,000	No
896	smarter.com	Price Comparisons	6,800,000	0.4%	29,000,000	Yes
897	dantri.com.vn	Native Americans	6,800,000	0.4%	370,000,000	Yes
898	canalblog.com		6,800,000	0.4%	73,000,000	Yes
899	utro.ru	Newspapers	6,800,000	0.4%	42,000,000	Yes
900	tbs.co.jp	TV Networks & Stations	6,800,000	0.4%	89,000,000	Yes
901	idealo.de	Price Comparisons	6,800,000	0.4%	61,000,000	Yes
902	ciao.de	Product Reviews & Price Comparisons	6,800,000	0.4%	26,000,000	Yes
903	htc.com	Mobile Phones	6,800,000	0.4%	80,000,000	Yes
904	rtve.es	TV Networks & Stations	6,800,000	0.4%	160,000,000	Yes
905	cox.net	ISPs	6,800,000	0.4%	550,000,000	Yes
906	vidivodo.com	Online Video	6,800,000	0.4%	54,000,000	Yes
907	plixi.com	Photo & Image Sharing	6,800,000	0.4%	67,000,000	Yes
908	popularscreensavers.com	Skins Themes & Wallpapers	6,800,000	0.4%	34,000,000	Yes
909	junnew.com	Advertising & Marketing	6,800,000	0.4%	13,000,000	No
910	hankooki.com	Business & Industrial	6,800,000	0.4%	130,000,000	Yes
911	chacha.com	Arts & Entertainment	6,800,000	0.4%	28,000,000	Yes
912	correios.com.br	Mail & Package Delivery	6,800,000	0.4%	89,000,000	Yes
913	cbs55.com		6,800,000	0.4%	15,000,000	No
914	shinobi.jp	Web Stats & Analytics	6,800,000	0.4%	54,000,000	Yes
915	hotpepper.jp	Dining Guides	6,800,000	0.4%	120,000,000	Yes
916	bedbathandbeyond.com	Bed & Bath	6,800,000	0.4%	150,000,000	No
917	cylex.de	Business & Personal Listings	6,800,000	0.4%	19,000,000	Yes
918	kongzhong.com	Computer & Video Games	6,800,000	0.4%	31,000,000	No
919	ruammid.com	Video Sharing	6,800,000	0.4%	45,000,000	Yes
920	xuite.net	Blogging Resources & Services	6,800,000	0.4%	97,000,000	Yes
921	wisegeek.com	How-To&sbquo; DIY & Expert Content	6,800,000	0.4%	19,000,000	Yes
922	terra.es	Web Portals	6,800,000	0.4%	130,000,000	Yes
923	csdn.net	Computers & Electronics	6,800,000	0.4%	55,000,000	Yes
924	trialpay.com	Merchant Services & Payment Systems	6,800,000	0.4%	31,000,000	Yes
925	skysports.com	Sports News	6,800,000	0.4%	130,000,000	Yes
926	yupis.org	Casual Games	6,800,000	0.4%	67,000,000	Yes
927	hsbccreditcard.com	Credit Cards	6,800,000	0.4%	120,000,000	Yes
928	bandoo.com	Online Goodies	6,800,000	0.4%	12,000,000	No
929	newegg.com	Computer Components	6,800,000	0.4%	130,000,000	Yes
930	vector.co.jp	Internet Clients & Browsers	6,800,000	0.4%	61,000,000	Yes
931	dihitt.com.br	News	6,800,000	0.4%	21,000,000	Yes
932	uniblue.com	Software	6,800,000	0.4%	16,000,000	No
933	playsushi.com	Casual Games	6,800,000	0.4%	26,000,000	Yes
934	meituan.com	Coupons & Discount Offers	6,800,000	0.4%	66,000,000	Yes
935	mashable.com	Technology News	6,800,000	0.4%	31,000,000	Yes
936	sbs.co.kr	TV Soap Operas	6,800,000	0.4%	120,000,000	Yes
937	officialiqquiz.com	Fun Tests & Silly Surveys	6,800,000	0.4%	42,000,000	No
938	natwest.com	Banking	6,800,000	0.4%	110,000,000	Yes
939	nbc.com	TV Networks & Stations	6,800,000	0.4%	74,000,000	Yes
940	didigames.com	Dress-Up & Fashion Games	6,800,000	0.4%	230,000,000	Yes
941	news72.com	Web Portals	6,800,000	0.4%	23,000,000	Yes
942	zwinky.com	Dress-Up & Fashion Games	6,800,000	0.4%	34,000,000	Yes
943	allocine.fr	Movie Listings & Theater Showtimes	6,800,000	0.4%	96,000,000	Yes
944	shutterfly.com	Photo & Video Services	6,800,000	0.4%	330,000,000	Yes
945	friend.ly		6,800,000	0.4%	46,000,000	No
946	990buy.com		6,800,000	0.4%	23,000,000	No
947	freebookofra.com		6,700,000	0.4%	19,000,000	No
948	aipai.com	Online Games	6,700,000	0.4%	98,000,000	Yes
949	freakshare.com	File Sharing & Hosting	6,700,000	0.4%	50,000,000	No
950	iwon.com		6,700,000	0.4%	50,000,000	Yes
951	daily.co.jp	Newspapers	6,700,000	0.4%	38,000,000	Yes
952	letsbonus.com		6,700,000	0.4%	31,000,000	Yes
953	justanswer.com	General Reference	6,700,000	0.4%	34,000,000	Yes
954	mappy.com	Maps	6,700,000	0.4%	81,000,000	Yes
955	tvsquad.com	TV & Video	6,700,000	0.4%	26,000,000	Yes
956	lloydstsb.com	Finance	6,700,000	0.4%	67,000,000	Yes
957	informer.com	Web Design & Development	6,700,000	0.4%	26,000,000	Yes
958	heroturko.org	File Sharing & Hosting	6,700,000	0.4%	38,000,000	Yes
959	seznam.cz	Web Portals	6,700,000	0.4%	2,300,000,000	Yes
960	uefa.com	Soccer	6,700,000	0.4%	72,000,000	Yes
961	msn.com.cn	Travel	6,700,000	0.4%	90,000,000	Yes
962	edmunds.com	Vehicle Shopping	6,700,000	0.4%	73,000,000	Yes
963	terra.com	Latinos & Latin-Americans	6,700,000	0.4%	55,000,000	Yes
964	us.com	Search Engines	6,700,000	0.4%	35,000,000	Yes
965	lyricsmode.com	Song Lyrics & Tabs	6,700,000	0.4%	21,000,000	Yes
966	kooora.com	Sports News	6,700,000	0.4%	410,000,000	Yes
967	as.com	Sports News	6,700,000	0.4%	190,000,000	Yes
968	kmart.com	Mass Merchants & Department Stores	6,700,000	0.4%	120,000,000	Yes
969	mobifiesta.com	Mobile Apps & Add-Ons	6,700,000	0.4%	34,000,000	Yes
970	radikal.ru	Photo & Video Software	6,700,000	0.4%	55,000,000	Yes
971	gamesgames.com	Flash-Based Entertainment	6,700,000	0.4%	110,000,000	Yes
972	blinkogold.com.br	Online Games	6,700,000	0.4%	18,000,000	No
973	itv.com	TV Networks & Stations	6,700,000	0.4%	89,000,000	Yes
974	suite101.com	Business & Industrial	6,700,000	0.4%	20,000,000	Yes
975	cdiscount.com	Consumer Electronics	6,700,000	0.4%	190,000,000	Yes
976	battle.net	Online Games	6,700,000	0.4%	230,000,000	Yes
977	vente-privee.com	Apparel	6,700,000	0.4%	660,000,000	No
978	sing365.com	Song Lyrics & Tabs	6,700,000	0.4%	19,000,000	Yes
979	2478.com		6,700,000	0.4%	11,000,000	No
980	otomoto.pl	Vehicle Shopping	6,700,000	0.4%	540,000,000	Yes
981	avira.com	Antivirus & Malware	6,700,000	0.4%	21,000,000	No
982	azlyrics.com	Song Lyrics & Tabs	6,700,000	0.4%	31,000,000	Yes
983	47news.jp	News	6,700,000	0.4%	28,000,000	Yes
984	quebarato.com.br	Classifieds	6,700,000	0.4%	21,000,000	Yes
985	irctc.co.in	Bus & Rail	6,700,000	0.4%	250,000,000	No
986	cafemom.com	Pregnancy & Maternity	6,600,000	0.4%	66,000,000	Yes
987	mercadolibre.com	Auctions	6,600,000	0.4%	82,000,000	Yes
988	yihaodian.com	Freight & Trucking	6,600,000	0.4%	41,000,000	No
989	qqtn.com	Email & Messaging	6,600,000	0.4%	66,000,000	Yes
990	alisoft.com	E-Commerce Services	6,600,000	0.4%	42,000,000	Yes
991	popcap.com	Casual Games	6,600,000	0.4%	42,000,000	Yes
992	aeriagames.com	Online Games	6,600,000	0.4%	46,000,000	Yes
993	ntv.co.jp	TV Networks & Stations	6,600,000	0.4%	45,000,000	Yes
994	baofeng.com	Media Players	6,200,000	0.3%	26,000,000	No
995	mozilla-europe.org	Internet Clients & Browsers	6,200,000	0.3%	14,000,000	Yes
996	bancobrasil.com.br	Banking	6,200,000	0.3%	460,000,000	No
997	prixmoinscher.com	Price Comparisons	6,200,000	0.3%	67,000,000	No
998	disneylatino.com		6,200,000	0.3%	230,000,000	Yes
999	imagevenue.com	Photo & Image Sharing	6,200,000	0.3%	67,000,000	Yes
1000	warnerbros.com	Film & TV Industry	6,200,000	0.3%	50,000,000	Yes
